,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,100,1,0,1676330193,0.0,99,0,0,,EURUSD-23FEB1410-1.06800,less,1.068,,,1.06799 or below,finalized,2023-02-13 23:16:33,2023-02-13
1,82,0,0,1676330193,0.0,100,18,0,,EURUSD-23FEB1410-1.073,between,1.07399,1.072,,1.072 to 1.07399,finalized,2023-02-13 23:16:33,2023-02-13
2,81,0,0,1676330193,0.0,100,19,0,,EURUSD-23FEB1410-1.073,between,1.07399,1.072,,1.072 to 1.07399,finalized,2023-02-13 23:16:33,2023-02-13
3,81,77,0,1676330193,0.0,23,19,0,,EURUSD-23FEB1410-1.073,between,1.07399,1.072,,1.072 to 1.07399,finalized,2023-02-13 23:16:33,2023-02-13
4,100,1,0,1676330193,0.0,99,0,0,,EURUSD-23FEB1410-1.075,between,1.07599,1.074,,1.074 to 1.07599,finalized,2023-02-13 23:16:33,2023-02-13
5,87,1,0,1676330193,0.0,99,13,0,,EURUSD-23FEB1410-1.075,between,1.07599,1.074,,1.074 to 1.07599,finalized,2023-02-13 23:16:33,2023-02-13
6,85,1,0,1676330193,0.0,99,15,0,,EURUSD-23FEB1410-1.075,between,1.07599,1.074,,1.074 to 1.07599,finalized,2023-02-13 23:16:33,2023-02-13
7,85,81,0,1676330193,0.0,19,15,0,,EURUSD-23FEB1410-1.075,between,1.07599,1.074,,1.074 to 1.07599,finalized,2023-02-13 23:16:33,2023-02-13
8,89,0,0,1676330194,0.0,100,11,0,,EURUSD-23FEB1410-1.069,between,1.06999,1.068,,1.068 to 1.06999,finalized,2023-02-13 23:16:34,2023-02-13
9,88,0,0,1676330194,0.0,100,12,0,,EURUSD-23FEB1410-1.069,between,1.06999,1.068,,1.068 to 1.06999,finalized,2023-02-13 23:16:34,2023-02-13
10,88,1,0,1676330194,0.0,99,12,0,,EURUSD-23FEB1410-1.069,between,1.06999,1.068,,1.068 to 1.06999,finalized,2023-02-13 23:16:34,2023-02-13
11,88,84,0,1676330194,0.0,16,12,0,,EURUSD-23FEB1410-1.069,between,1.06999,1.068,,1.068 to 1.06999,finalized,2023-02-13 23:16:34,2023-02-13
12,100,1,0,1676330194,0.0,99,0,0,,EURUSD-23FEB1410-1.077,between,1.07799,1.076,,1.076 to 1.07799,finalized,2023-02-13 23:16:34,2023-02-13
13,100,1,0,1676330194,0.0,99,0,0,,EURUSD-23FEB1410-1.07799,greater,,1.07799,,1.078 or above,finalized,2023-02-13 23:16:34,2023-02-13
14,92,1,0,1676330195,0.0,99,8,0,,EURUSD-23FEB1410-1.06800,less,1.068,,,1.06799 or below,finalized,2023-02-13 23:16:35,2023-02-13
15,91,1,0,1676330195,0.0,99,9,0,,EURUSD-23FEB1410-1.06800,less,1.068,,,1.06799 or below,finalized,2023-02-13 23:16:35,2023-02-13
16,90,1,0,1676330195,0.0,99,10,0,,EURUSD-23FEB1410-1.06800,less,1.068,,,1.06799 or below,finalized,2023-02-13 23:16:35,2023-02-13
17,90,86,0,1676330195,0.0,14,10,0,,EURUSD-23FEB1410-1.06800,less,1.068,,,1.06799 or below,finalized,2023-02-13 23:16:35,2023-02-13
18,83,0,0,1676330196,0.0,100,17,0,,EURUSD-23FEB1410-1.071,between,1.07199,1.07,,1.07 to 1.07199,finalized,2023-02-13 23:16:36,2023-02-13
19,82,0,0,1676330196,0.0,100,18,0,,EURUSD-23FEB1410-1.071,between,1.07199,1.07,,1.07 to 1.07199,finalized,2023-02-13 23:16:36,2023-02-13
20,82,78,0,1676330196,0.0,22,18,0,,EURUSD-23FEB1410-1.071,between,1.07199,1.07,,1.07 to 1.07199,finalized,2023-02-13 23:16:36,2023-02-13
21,100,0,0,1676330196,0.0,100,0,0,,EURUSD-23FEB1410-1.077,between,1.07799,1.076,,1.076 to 1.07799,finalized,2023-02-13 23:16:36,2023-02-13
22,100,1,0,1676330196,0.0,99,0,0,,EURUSD-23FEB1410-1.077,between,1.07799,1.076,,1.076 to 1.07799,finalized,2023-02-13 23:16:36,2023-02-13
23,100,0,0,1676330196,0.0,100,0,0,,EURUSD-23FEB1410-1.07799,greater,,1.07799,,1.078 or above,finalized,2023-02-13 23:16:36,2023-02-13
24,100,1,0,1676330196,0.0,99,0,0,,EURUSD-23FEB1410-1.07799,greater,,1.07799,,1.078 or above,finalized,2023-02-13 23:16:36,2023-02-13
25,96,1,0,1676330196,0.0,99,4,0,,EURUSD-23FEB1410-1.07799,greater,,1.07799,,1.078 or above,finalized,2023-02-13 23:16:36,2023-02-13
26,95,1,0,1676330196,0.0,99,5,0,,EURUSD-23FEB1410-1.07799,greater,,1.07799,,1.078 or above,finalized,2023-02-13 23:16:36,2023-02-13
27,95,92,0,1676330196,0.0,8,5,0,,EURUSD-23FEB1410-1.07799,greater,,1.07799,,1.078 or above,finalized,2023-02-13 23:16:36,2023-02-13
28,92,1,0,1676330197,0.0,99,8,0,,EURUSD-23FEB1410-1.077,between,1.07799,1.076,,1.076 to 1.07799,finalized,2023-02-13 23:16:37,2023-02-13
29,91,1,0,1676330197,0.0,99,9,0,,EURUSD-23FEB1410-1.077,between,1.07799,1.076,,1.076 to 1.07799,finalized,2023-02-13 23:16:37,2023-02-13
30,91,87,0,1676330197,0.0,13,9,0,,EURUSD-23FEB1410-1.077,between,1.07799,1.076,,1.076 to 1.07799,finalized,2023-02-13 23:16:37,2023-02-13
31,91,88,0,1676330197,0.0,12,9,0,,EURUSD-23FEB1410-1.077,between,1.07799,1.076,,1.076 to 1.07799,finalized,2023-02-13 23:16:37,2023-02-13
32,82,77,0,1676330221,0.0,23,18,0,,EURUSD-23FEB1410-1.073,between,1.07399,1.072,,1.072 to 1.07399,finalized,2023-02-13 23:17:01,2023-02-13
33,82,76,0,1676330221,0.0,24,18,0,,EURUSD-23FEB1410-1.073,between,1.07399,1.072,,1.072 to 1.07399,finalized,2023-02-13 23:17:01,2023-02-13
34,92,88,0,1676330221,0.0,12,8,0,,EURUSD-23FEB1410-1.077,between,1.07799,1.076,,1.076 to 1.07799,finalized,2023-02-13 23:17:01,2023-02-13
35,92,87,0,1676330221,0.0,13,8,0,,EURUSD-23FEB1410-1.077,between,1.07799,1.076,,1.076 to 1.07799,finalized,2023-02-13 23:17:01,2023-02-13
36,95,91,0,1676330221,0.0,9,5,0,,EURUSD-23FEB1410-1.07799,greater,,1.07799,,1.078 or above,finalized,2023-02-13 23:17:01,2023-02-13
37,91,86,0,1676330222,0.0,14,9,0,,EURUSD-23FEB1410-1.06800,less,1.068,,,1.06799 or below,finalized,2023-02-13 23:17:02,2023-02-13
38,91,87,0,1676330222,0.0,13,9,0,,EURUSD-23FEB1410-1.06800,less,1.068,,,1.06799 or below,finalized,2023-02-13 23:17:02,2023-02-13
39,91,88,0,1676330222,0.0,12,9,0,,EURUSD-23FEB1410-1.06800,less,1.068,,,1.06799 or below,finalized,2023-02-13 23:17:02,2023-02-13
40,89,84,0,1676330222,0.0,16,11,0,,EURUSD-23FEB1410-1.069,between,1.06999,1.068,,1.068 to 1.06999,finalized,2023-02-13 23:17:02,2023-02-13
41,89,83,0,1676330222,0.0,17,11,0,,EURUSD-23FEB1410-1.069,between,1.06999,1.068,,1.068 to 1.06999,finalized,2023-02-13 23:17:02,2023-02-13
42,88,83,0,1676330222,0.0,17,12,0,,EURUSD-23FEB1410-1.069,between,1.06999,1.068,,1.068 to 1.06999,finalized,2023-02-13 23:17:02,2023-02-13
43,88,85,0,1676330222,0.0,15,12,0,,EURUSD-23FEB1410-1.069,between,1.06999,1.068,,1.068 to 1.06999,finalized,2023-02-13 23:17:02,2023-02-13
44,83,78,0,1676330222,0.0,22,17,0,,EURUSD-23FEB1410-1.071,between,1.07199,1.07,,1.07 to 1.07199,finalized,2023-02-13 23:17:02,2023-02-13
45,84,78,0,1676330222,0.0,22,16,0,,EURUSD-23FEB1410-1.071,between,1.07199,1.07,,1.07 to 1.07199,finalized,2023-02-13 23:17:02,2023-02-13
46,84,77,0,1676330222,0.0,23,16,0,,EURUSD-23FEB1410-1.071,between,1.07199,1.07,,1.07 to 1.07199,finalized,2023-02-13 23:17:02,2023-02-13
47,81,76,0,1676330222,0.0,24,19,0,,EURUSD-23FEB1410-1.073,between,1.07399,1.072,,1.072 to 1.07399,finalized,2023-02-13 23:17:02,2023-02-13
48,81,77,0,1676330222,0.0,23,19,0,,EURUSD-23FEB1410-1.073,between,1.07399,1.072,,1.072 to 1.07399,finalized,2023-02-13 23:17:02,2023-02-13
49,86,81,0,1676330222,0.0,19,14,0,,EURUSD-23FEB1410-1.075,between,1.07599,1.074,,1.074 to 1.07599,finalized,2023-02-13 23:17:02,2023-02-13
50,86,80,0,1676330222,0.0,20,14,0,,EURUSD-23FEB1410-1.075,between,1.07599,1.074,,1.074 to 1.07599,finalized,2023-02-13 23:17:02,2023-02-13
51,85,80,0,1676330222,0.0,20,15,0,,EURUSD-23FEB1410-1.075,between,1.07599,1.074,,1.074 to 1.07599,finalized,2023-02-13 23:17:02,2023-02-13
52,85,81,0,1676330222,0.0,19,15,0,,EURUSD-23FEB1410-1.075,between,1.07599,1.074,,1.074 to 1.07599,finalized,2023-02-13 23:17:02,2023-02-13
53,94,91,0,1676330222,0.0,9,6,0,,EURUSD-23FEB1410-1.07799,greater,,1.07799,,1.078 or above,finalized,2023-02-13 23:17:02,2023-02-13
54,83,77,0,1676330223,0.0,23,17,0,,EURUSD-23FEB1410-1.071,between,1.07199,1.07,,1.07 to 1.07199,finalized,2023-02-13 23:17:03,2023-02-13
55,83,78,0,1676330223,0.0,22,17,0,,EURUSD-23FEB1410-1.071,between,1.07199,1.07,,1.07 to 1.07199,finalized,2023-02-13 23:17:03,2023-02-13
56,91,87,0,1676330223,0.0,13,9,0,,EURUSD-23FEB1410-1.077,between,1.07799,1.076,,1.076 to 1.07799,finalized,2023-02-13 23:17:03,2023-02-13
57,91,88,0,1676330223,0.0,12,9,0,,EURUSD-23FEB1410-1.077,between,1.07799,1.076,,1.076 to 1.07799,finalized,2023-02-13 23:17:03,2023-02-13
58,91,87,0,1676330254,0.0,13,9,0,,EURUSD-23FEB1410-1.06800,less,1.068,,,1.06799 or below,finalized,2023-02-13 23:17:34,2023-02-13
59,91,86,0,1676330254,0.0,14,9,0,,EURUSD-23FEB1410-1.06800,less,1.068,,,1.06799 or below,finalized,2023-02-13 23:17:34,2023-02-13
60,90,86,0,1676330254,0.0,14,10,0,,EURUSD-23FEB1410-1.06800,less,1.068,,,1.06799 or below,finalized,2023-02-13 23:17:34,2023-02-13
61,90,87,0,1676330254,0.0,13,10,0,,EURUSD-23FEB1410-1.06800,less,1.068,,,1.06799 or below,finalized,2023-02-13 23:17:34,2023-02-13
62,89,85,0,1676330254,0.0,15,11,0,,EURUSD-23FEB1410-1.069,between,1.06999,1.068,,1.068 to 1.06999,finalized,2023-02-13 23:17:34,2023-02-13
63,89,83,0,1676330254,0.0,17,11,0,,EURUSD-23FEB1410-1.069,between,1.06999,1.068,,1.068 to 1.06999,finalized,2023-02-13 23:17:34,2023-02-13
64,84,78,0,1676330254,0.0,22,16,0,,EURUSD-23FEB1410-1.071,between,1.07199,1.07,,1.07 to 1.07199,finalized,2023-02-13 23:17:34,2023-02-13
65,84,77,0,1676330254,0.0,23,16,0,,EURUSD-23FEB1410-1.071,between,1.07199,1.07,,1.07 to 1.07199,finalized,2023-02-13 23:17:34,2023-02-13
66,82,77,0,1676330254,0.0,23,18,0,,EURUSD-23FEB1410-1.073,between,1.07399,1.072,,1.072 to 1.07399,finalized,2023-02-13 23:17:34,2023-02-13
67,82,76,0,1676330254,0.0,24,18,0,,EURUSD-23FEB1410-1.073,between,1.07399,1.072,,1.072 to 1.07399,finalized,2023-02-13 23:17:34,2023-02-13
68,86,81,0,1676330254,0.0,19,14,0,,EURUSD-23FEB1410-1.075,between,1.07599,1.074,,1.074 to 1.07599,finalized,2023-02-13 23:17:34,2023-02-13
69,86,80,0,1676330254,0.0,20,14,0,,EURUSD-23FEB1410-1.075,between,1.07599,1.074,,1.074 to 1.07599,finalized,2023-02-13 23:17:34,2023-02-13
70,85,80,0,1676330254,0.0,20,15,0,,EURUSD-23FEB1410-1.075,between,1.07599,1.074,,1.074 to 1.07599,finalized,2023-02-13 23:17:34,2023-02-13
71,85,81,0,1676330254,0.0,19,15,0,,EURUSD-23FEB1410-1.075,between,1.07599,1.074,,1.074 to 1.07599,finalized,2023-02-13 23:17:34,2023-02-13
72,92,88,0,1676330254,0.0,12,8,0,,EURUSD-23FEB1410-1.077,between,1.07799,1.076,,1.076 to 1.07799,finalized,2023-02-13 23:17:34,2023-02-13
73,92,87,0,1676330254,0.0,13,8,0,,EURUSD-23FEB1410-1.077,between,1.07799,1.076,,1.076 to 1.07799,finalized,2023-02-13 23:17:34,2023-02-13
74,91,87,0,1676330254,0.0,13,9,0,,EURUSD-23FEB1410-1.077,between,1.07799,1.076,,1.076 to 1.07799,finalized,2023-02-13 23:17:34,2023-02-13
75,91,88,0,1676330254,0.0,12,9,0,,EURUSD-23FEB1410-1.077,between,1.07799,1.076,,1.076 to 1.07799,finalized,2023-02-13 23:17:34,2023-02-13
76,95,91,0,1676330254,0.0,9,5,0,,EURUSD-23FEB1410-1.07799,greater,,1.07799,,1.078 or above,finalized,2023-02-13 23:17:34,2023-02-13
77,94,91,0,1676330254,0.0,9,6,0,,EURUSD-23FEB1410-1.07799,greater,,1.07799,,1.078 or above,finalized,2023-02-13 23:17:34,2023-02-13
78,94,92,0,1676330254,0.0,8,6,0,,EURUSD-23FEB1410-1.07799,greater,,1.07799,,1.078 or above,finalized,2023-02-13 23:17:34,2023-02-13
79,88,83,0,1676330255,0.0,17,12,0,,EURUSD-23FEB1410-1.069,between,1.06999,1.068,,1.068 to 1.06999,finalized,2023-02-13 23:17:35,2023-02-13
80,88,84,0,1676330255,0.0,16,12,0,,EURUSD-23FEB1410-1.069,between,1.06999,1.068,,1.068 to 1.06999,finalized,2023-02-13 23:17:35,2023-02-13
81,83,77,0,1676330255,0.0,23,17,0,,EURUSD-23FEB1410-1.071,between,1.07199,1.07,,1.07 to 1.07199,finalized,2023-02-13 23:17:35,2023-02-13
82,82,77,0,1676330255,0.0,23,18,0,,EURUSD-23FEB1410-1.071,between,1.07199,1.07,,1.07 to 1.07199,finalized,2023-02-13 23:17:35,2023-02-13
83,82,78,0,1676330255,0.0,22,18,0,,EURUSD-23FEB1410-1.071,between,1.07199,1.07,,1.07 to 1.07199,finalized,2023-02-13 23:17:35,2023-02-13
84,81,76,0,1676330255,0.0,24,19,0,,EURUSD-23FEB1410-1.073,between,1.07399,1.072,,1.072 to 1.07399,finalized,2023-02-13 23:17:35,2023-02-13
85,81,77,0,1676330255,0.0,23,19,0,,EURUSD-23FEB1410-1.073,between,1.07399,1.072,,1.072 to 1.07399,finalized,2023-02-13 23:17:35,2023-02-13
86,91,87,0,1676330287,0.0,13,9,0,,EURUSD-23FEB1410-1.06800,less,1.068,,,1.06799 or below,finalized,2023-02-13 23:18:07,2023-02-13
87,91,86,0,1676330287,0.0,14,9,0,,EURUSD-23FEB1410-1.06800,less,1.068,,,1.06799 or below,finalized,2023-02-13 23:18:07,2023-02-13
88,90,86,0,1676330287,0.0,14,10,0,,EURUSD-23FEB1410-1.06800,less,1.068,,,1.06799 or below,finalized,2023-02-13 23:18:07,2023-02-13
89,90,87,0,1676330287,0.0,13,10,0,,EURUSD-23FEB1410-1.06800,less,1.068,,,1.06799 or below,finalized,2023-02-13 23:18:07,2023-02-13
90,89,84,0,1676330287,0.0,16,11,0,,EURUSD-23FEB1410-1.069,between,1.06999,1.068,,1.068 to 1.06999,finalized,2023-02-13 23:18:07,2023-02-13
91,89,83,0,1676330287,0.0,17,11,0,,EURUSD-23FEB1410-1.069,between,1.06999,1.068,,1.068 to 1.06999,finalized,2023-02-13 23:18:07,2023-02-13
92,88,83,0,1676330287,0.0,17,12,0,,EURUSD-23FEB1410-1.069,between,1.06999,1.068,,1.068 to 1.06999,finalized,2023-02-13 23:18:07,2023-02-13
93,88,84,0,1676330287,0.0,16,12,0,,EURUSD-23FEB1410-1.069,between,1.06999,1.068,,1.068 to 1.06999,finalized,2023-02-13 23:18:07,2023-02-13
94,83,78,0,1676330287,0.0,22,17,0,,EURUSD-23FEB1410-1.071,between,1.07199,1.07,,1.07 to 1.07199,finalized,2023-02-13 23:18:07,2023-02-13
95,83,77,0,1676330287,0.0,23,17,0,,EURUSD-23FEB1410-1.071,between,1.07199,1.07,,1.07 to 1.07199,finalized,2023-02-13 23:18:07,2023-02-13
96,82,77,0,1676330287,0.0,23,18,0,,EURUSD-23FEB1410-1.071,between,1.07199,1.07,,1.07 to 1.07199,finalized,2023-02-13 23:18:07,2023-02-13
97,82,78,0,1676330287,0.0,22,18,0,,EURUSD-23FEB1410-1.071,between,1.07199,1.07,,1.07 to 1.07199,finalized,2023-02-13 23:18:07,2023-02-13
98,86,81,0,1676330287,0.0,19,14,0,,EURUSD-23FEB1410-1.075,between,1.07599,1.074,,1.074 to 1.07599,finalized,2023-02-13 23:18:07,2023-02-13
99,86,80,0,1676330287,0.0,20,14,0,,EURUSD-23FEB1410-1.075,between,1.07599,1.074,,1.074 to 1.07599,finalized,2023-02-13 23:18:07,2023-02-13
100,85,80,0,1676330287,0.0,20,15,0,,EURUSD-23FEB1410-1.075,between,1.07599,1.074,,1.074 to 1.07599,finalized,2023-02-13 23:18:07,2023-02-13
101,85,81,0,1676330287,0.0,19,15,0,,EURUSD-23FEB1410-1.075,between,1.07599,1.074,,1.074 to 1.07599,finalized,2023-02-13 23:18:07,2023-02-13
102,92,88,0,1676330287,0.0,12,8,0,,EURUSD-23FEB1410-1.077,between,1.07799,1.076,,1.076 to 1.07799,finalized,2023-02-13 23:18:07,2023-02-13
103,92,87,0,1676330287,0.0,13,8,0,,EURUSD-23FEB1410-1.077,between,1.07799,1.076,,1.076 to 1.07799,finalized,2023-02-13 23:18:07,2023-02-13
104,91,87,0,1676330287,0.0,13,9,0,,EURUSD-23FEB1410-1.077,between,1.07799,1.076,,1.076 to 1.07799,finalized,2023-02-13 23:18:07,2023-02-13
105,91,88,0,1676330287,0.0,12,9,0,,EURUSD-23FEB1410-1.077,between,1.07799,1.076,,1.076 to 1.07799,finalized,2023-02-13 23:18:07,2023-02-13
106,95,92,0,1676330287,0.0,8,5,0,,EURUSD-23FEB1410-1.07799,greater,,1.07799,,1.078 or above,finalized,2023-02-13 23:18:07,2023-02-13
107,95,91,0,1676330287,0.0,9,5,0,,EURUSD-23FEB1410-1.07799,greater,,1.07799,,1.078 or above,finalized,2023-02-13 23:18:07,2023-02-13
108,94,91,0,1676330287,0.0,9,6,0,,EURUSD-23FEB1410-1.07799,greater,,1.07799,,1.078 or above,finalized,2023-02-13 23:18:07,2023-02-13
109,94,92,0,1676330287,0.0,8,6,0,,EURUSD-23FEB1410-1.07799,greater,,1.07799,,1.078 or above,finalized,2023-02-13 23:18:07,2023-02-13
110,91,87,0,1676330323,0.0,13,9,0,,EURUSD-23FEB1410-1.06800,less,1.068,,,1.06799 or below,finalized,2023-02-13 23:18:43,2023-02-13
111,89,84,0,1676330323,0.0,16,11,0,,EURUSD-23FEB1410-1.069,between,1.06999,1.068,,1.068 to 1.06999,finalized,2023-02-13 23:18:43,2023-02-13
112,83,78,0,1676330323,0.0,22,17,0,,EURUSD-23FEB1410-1.071,between,1.07199,1.07,,1.07 to 1.07199,finalized,2023-02-13 23:18:43,2023-02-13
113,84,78,0,1676330323,0.0,22,16,0,,EURUSD-23FEB1410-1.071,between,1.07199,1.07,,1.07 to 1.07199,finalized,2023-02-13 23:18:43,2023-02-13
114,84,77,0,1676330323,0.0,23,16,0,,EURUSD-23FEB1410-1.071,between,1.07199,1.07,,1.07 to 1.07199,finalized,2023-02-13 23:18:43,2023-02-13
115,82,77,0,1676330323,0.0,23,18,0,,EURUSD-23FEB1410-1.073,between,1.07399,1.072,,1.072 to 1.07399,finalized,2023-02-13 23:18:43,2023-02-13
116,82,76,0,1676330323,0.0,24,18,0,,EURUSD-23FEB1410-1.073,between,1.07399,1.072,,1.072 to 1.07399,finalized,2023-02-13 23:18:43,2023-02-13
117,86,81,0,1676330323,0.0,19,14,0,,EURUSD-23FEB1410-1.075,between,1.07599,1.074,,1.074 to 1.07599,finalized,2023-02-13 23:18:43,2023-02-13
118,86,80,0,1676330323,0.0,20,14,0,,EURUSD-23FEB1410-1.075,between,1.07599,1.074,,1.074 to 1.07599,finalized,2023-02-13 23:18:43,2023-02-13
119,92,88,0,1676330323,0.0,12,8,0,,EURUSD-23FEB1410-1.077,between,1.07799,1.076,,1.076 to 1.07799,finalized,2023-02-13 23:18:43,2023-02-13
120,92,87,0,1676330323,0.0,13,8,0,,EURUSD-23FEB1410-1.077,between,1.07799,1.076,,1.076 to 1.07799,finalized,2023-02-13 23:18:43,2023-02-13
121,95,92,0,1676330323,0.0,8,5,0,,EURUSD-23FEB1410-1.07799,greater,,1.07799,,1.078 or above,finalized,2023-02-13 23:18:43,2023-02-13
122,95,91,0,1676330323,0.0,9,5,0,,EURUSD-23FEB1410-1.07799,greater,,1.07799,,1.078 or above,finalized,2023-02-13 23:18:43,2023-02-13
123,91,86,0,1676330324,0.0,14,9,0,,EURUSD-23FEB1410-1.06800,less,1.068,,,1.06799 or below,finalized,2023-02-13 23:18:44,2023-02-13
124,91,88,0,1676330324,0.0,12,9,0,,EURUSD-23FEB1410-1.06800,less,1.068,,,1.06799 or below,finalized,2023-02-13 23:18:44,2023-02-13
125,88,84,0,1676330324,0.0,16,12,0,,EURUSD-23FEB1410-1.069,between,1.06999,1.068,,1.068 to 1.06999,finalized,2023-02-13 23:18:44,2023-02-13
126,88,85,0,1676330324,0.0,15,12,0,,EURUSD-23FEB1410-1.069,between,1.06999,1.068,,1.068 to 1.06999,finalized,2023-02-13 23:18:44,2023-02-13
127,83,77,0,1676330324,0.0,23,17,0,,EURUSD-23FEB1410-1.071,between,1.07199,1.07,,1.07 to 1.07199,finalized,2023-02-13 23:18:44,2023-02-13
128,83,78,0,1676330324,0.0,22,17,0,,EURUSD-23FEB1410-1.071,between,1.07199,1.07,,1.07 to 1.07199,finalized,2023-02-13 23:18:44,2023-02-13
129,81,76,0,1676330324,0.0,24,19,0,,EURUSD-23FEB1410-1.073,between,1.07399,1.072,,1.072 to 1.07399,finalized,2023-02-13 23:18:44,2023-02-13
130,81,77,0,1676330324,0.0,23,19,0,,EURUSD-23FEB1410-1.073,between,1.07399,1.072,,1.072 to 1.07399,finalized,2023-02-13 23:18:44,2023-02-13
131,85,80,0,1676330324,0.0,20,15,0,,EURUSD-23FEB1410-1.075,between,1.07599,1.074,,1.074 to 1.07599,finalized,2023-02-13 23:18:44,2023-02-13
132,85,81,0,1676330324,0.0,19,15,0,,EURUSD-23FEB1410-1.075,between,1.07599,1.074,,1.074 to 1.07599,finalized,2023-02-13 23:18:44,2023-02-13
133,91,87,0,1676330324,0.0,13,9,0,,EURUSD-23FEB1410-1.077,between,1.07799,1.076,,1.076 to 1.07799,finalized,2023-02-13 23:18:44,2023-02-13
134,91,88,0,1676330324,0.0,12,9,0,,EURUSD-23FEB1410-1.077,between,1.07799,1.076,,1.076 to 1.07799,finalized,2023-02-13 23:18:44,2023-02-13
135,94,91,0,1676330324,0.0,9,6,0,,EURUSD-23FEB1410-1.07799,greater,,1.07799,,1.078 or above,finalized,2023-02-13 23:18:44,2023-02-13
136,91,86,0,1676330347,0.0,14,9,0,,EURUSD-23FEB1410-1.06800,less,1.068,,,1.06799 or below,finalized,2023-02-13 23:19:07,2023-02-13
137,90,86,0,1676330347,0.0,14,10,0,,EURUSD-23FEB1410-1.06800,less,1.068,,,1.06799 or below,finalized,2023-02-13 23:19:07,2023-02-13
138,90,87,0,1676330347,0.0,13,10,0,,EURUSD-23FEB1410-1.06800,less,1.068,,,1.06799 or below,finalized,2023-02-13 23:19:07,2023-02-13
139,89,85,0,1676330347,0.0,15,11,0,,EURUSD-23FEB1410-1.069,between,1.06999,1.068,,1.068 to 1.06999,finalized,2023-02-13 23:19:07,2023-02-13
140,89,84,0,1676330347,0.0,16,11,0,,EURUSD-23FEB1410-1.069,between,1.06999,1.068,,1.068 to 1.06999,finalized,2023-02-13 23:19:07,2023-02-13
141,88,84,0,1676330347,0.0,16,12,0,,EURUSD-23FEB1410-1.069,between,1.06999,1.068,,1.068 to 1.06999,finalized,2023-02-13 23:19:07,2023-02-13
142,84,78,0,1676330347,0.0,22,16,0,,EURUSD-23FEB1410-1.071,between,1.07199,1.07,,1.07 to 1.07199,finalized,2023-02-13 23:19:07,2023-02-13
143,84,77,0,1676330347,0.0,23,16,0,,EURUSD-23FEB1410-1.071,between,1.07199,1.07,,1.07 to 1.07199,finalized,2023-02-13 23:19:07,2023-02-13
144,83,77,0,1676330347,0.0,23,17,0,,EURUSD-23FEB1410-1.071,between,1.07199,1.07,,1.07 to 1.07199,finalized,2023-02-13 23:19:07,2023-02-13
145,83,78,0,1676330347,0.0,22,17,0,,EURUSD-23FEB1410-1.071,between,1.07199,1.07,,1.07 to 1.07199,finalized,2023-02-13 23:19:07,2023-02-13
146,86,81,0,1676330347,0.0,19,14,0,,EURUSD-23FEB1410-1.075,between,1.07599,1.074,,1.074 to 1.07599,finalized,2023-02-13 23:19:07,2023-02-13
147,86,80,0,1676330347,0.0,20,14,0,,EURUSD-23FEB1410-1.075,between,1.07599,1.074,,1.074 to 1.07599,finalized,2023-02-13 23:19:07,2023-02-13
148,85,80,0,1676330347,0.0,20,15,0,,EURUSD-23FEB1410-1.075,between,1.07599,1.074,,1.074 to 1.07599,finalized,2023-02-13 23:19:07,2023-02-13
149,85,81,0,1676330347,0.0,19,15,0,,EURUSD-23FEB1410-1.075,between,1.07599,1.074,,1.074 to 1.07599,finalized,2023-02-13 23:19:07,2023-02-13
150,92,88,0,1676330347,0.0,12,8,0,,EURUSD-23FEB1410-1.077,between,1.07799,1.076,,1.076 to 1.07799,finalized,2023-02-13 23:19:07,2023-02-13
151,92,87,0,1676330347,0.0,13,8,0,,EURUSD-23FEB1410-1.077,between,1.07799,1.076,,1.076 to 1.07799,finalized,2023-02-13 23:19:07,2023-02-13
152,91,87,0,1676330347,0.0,13,9,0,,EURUSD-23FEB1410-1.077,between,1.07799,1.076,,1.076 to 1.07799,finalized,2023-02-13 23:19:07,2023-02-13
153,91,88,0,1676330347,0.0,12,9,0,,EURUSD-23FEB1410-1.077,between,1.07799,1.076,,1.076 to 1.07799,finalized,2023-02-13 23:19:07,2023-02-13
154,95,91,0,1676330347,0.0,9,5,0,,EURUSD-23FEB1410-1.07799,greater,,1.07799,,1.078 or above,finalized,2023-02-13 23:19:07,2023-02-13
155,94,91,0,1676330347,0.0,9,6,0,,EURUSD-23FEB1410-1.07799,greater,,1.07799,,1.078 or above,finalized,2023-02-13 23:19:07,2023-02-13
156,94,92,0,1676330347,0.0,8,6,0,,EURUSD-23FEB1410-1.07799,greater,,1.07799,,1.078 or above,finalized,2023-02-13 23:19:07,2023-02-13
157,91,87,0,1676330404,0.0,13,9,0,,EURUSD-23FEB1410-1.06800,less,1.068,,,1.06799 or below,finalized,2023-02-13 23:20:04,2023-02-13
158,91,86,0,1676330404,0.0,14,9,0,,EURUSD-23FEB1410-1.06800,less,1.068,,,1.06799 or below,finalized,2023-02-13 23:20:04,2023-02-13
159,91,88,0,1676330404,0.0,12,9,0,,EURUSD-23FEB1410-1.06800,less,1.068,,,1.06799 or below,finalized,2023-02-13 23:20:04,2023-02-13
