,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,100,66,0,1660661334,0.0,34,0,0,,USDJPY-22AUG16-18-B134.125,between,134.249,134.0,,134.000-134.249,finalized,2022-08-16 14:48:54,2022-08-16
1,73,66,0,1660661334,0.0,34,27,0,,USDJPY-22AUG16-18-B134.125,between,134.249,134.0,,134.000-134.249,finalized,2022-08-16 14:48:54,2022-08-16
2,100,96,0,1660661334,0.0,4,0,0,,USDJPY-22AUG16-18-T135.000,greater,,135.0,,>135.000,finalized,2022-08-16 14:48:54,2022-08-16
3,100,96,0,1660661334,0.0,4,0,0,,USDJPY-22AUG16-18-T135.000,greater,,135.0,,>135.000,finalized,2022-08-16 14:48:54,2022-08-16
4,100,96,0,1660661334,0.0,4,0,0,,USDJPY-22AUG16-18-T135.000,greater,,135.0,,>135.000,finalized,2022-08-16 14:48:54,2022-08-16
5,73,66,0,1660661335,0.0,34,27,0,,USDJPY-22AUG16-18-B134.125,between,134.249,134.0,,134.000-134.249,finalized,2022-08-16 14:48:55,2022-08-16
6,73,68,0,1660661335,0.0,32,27,0,,USDJPY-22AUG16-18-B134.125,between,134.249,134.0,,134.000-134.249,finalized,2022-08-16 14:48:55,2022-08-16
7,73,68,0,1660661335,0.0,32,27,0,,USDJPY-22AUG16-18-B134.125,between,134.249,134.0,,134.000-134.249,finalized,2022-08-16 14:48:55,2022-08-16
8,73,68,0,1660661335,0.0,32,27,0,,USDJPY-22AUG16-18-B134.125,between,134.249,134.0,,134.000-134.249,finalized,2022-08-16 14:48:55,2022-08-16
9,74,68,0,1660661512,0.0,32,26,0,,USDJPY-22AUG16-18-B134.125,between,134.249,134.0,,134.000-134.249,finalized,2022-08-16 14:51:52,2022-08-16
10,74,69,0,1660661512,0.0,31,26,0,,USDJPY-22AUG16-18-B134.125,between,134.249,134.0,,134.000-134.249,finalized,2022-08-16 14:51:52,2022-08-16
11,74,69,0,1660661512,0.0,31,26,0,,USDJPY-22AUG16-18-B134.125,between,134.249,134.0,,134.000-134.249,finalized,2022-08-16 14:51:52,2022-08-16
12,74,69,0,1660661512,0.0,31,26,0,,USDJPY-22AUG16-18-B134.125,between,134.249,134.0,,134.000-134.249,finalized,2022-08-16 14:51:52,2022-08-16
13,74,69,0,1660661512,0.0,31,26,0,,USDJPY-22AUG16-18-B134.125,between,134.249,134.0,,134.000-134.249,finalized,2022-08-16 14:51:52,2022-08-16
14,64,0,0,1660661512,0.0,100,36,0,,USDJPY-22AUG16-18-B134.375,between,134.499,134.25,,134.250-134.499,finalized,2022-08-16 14:51:52,2022-08-16
15,100,93,0,1660661512,0.0,7,0,0,,USDJPY-22AUG16-18-T133.750,less,133.75,,,<133.750,finalized,2022-08-16 14:51:52,2022-08-16
16,99,93,0,1660661512,0.0,7,1,0,,USDJPY-22AUG16-18-T133.750,less,133.75,,,<133.750,finalized,2022-08-16 14:51:52,2022-08-16
17,98,93,0,1660661512,0.0,7,2,0,,USDJPY-22AUG16-18-T133.750,less,133.75,,,<133.750,finalized,2022-08-16 14:51:52,2022-08-16
18,98,95,0,1660661512,0.0,5,2,0,,USDJPY-22AUG16-18-T133.750,less,133.75,,,<133.750,finalized,2022-08-16 14:51:52,2022-08-16
19,98,95,0,1660661512,0.0,5,2,0,,USDJPY-22AUG16-18-T133.750,less,133.75,,,<133.750,finalized,2022-08-16 14:51:52,2022-08-16
20,100,96,0,1660661512,0.0,4,0,0,,USDJPY-22AUG16-18-T135.000,greater,,135.0,,>135.000,finalized,2022-08-16 14:51:52,2022-08-16
21,95,0,0,1660661514,0.0,100,5,0,,USDJPY-22AUG16-18-B133.875,between,133.999,133.75,,133.750-133.999,finalized,2022-08-16 14:51:54,2022-08-16
22,95,0,0,1660661514,0.0,100,5,0,,USDJPY-22AUG16-18-B133.875,between,133.999,133.75,,133.750-133.999,finalized,2022-08-16 14:51:54,2022-08-16
23,64,55,0,1660661514,0.0,45,36,0,,USDJPY-22AUG16-18-B134.375,between,134.499,134.25,,134.250-134.499,finalized,2022-08-16 14:51:54,2022-08-16
24,62,55,0,1660661514,0.0,45,38,0,,USDJPY-22AUG16-18-B134.375,between,134.499,134.25,,134.250-134.499,finalized,2022-08-16 14:51:54,2022-08-16
25,62,57,0,1660661514,0.0,43,38,0,,USDJPY-22AUG16-18-B134.375,between,134.499,134.25,,134.250-134.499,finalized,2022-08-16 14:51:54,2022-08-16
26,62,57,0,1660661514,0.0,43,38,0,,USDJPY-22AUG16-18-B134.375,between,134.499,134.25,,134.250-134.499,finalized,2022-08-16 14:51:54,2022-08-16
27,100,82,0,1660661514,0.0,18,0,0,,USDJPY-22AUG16-18-B134.675,between,134.749,134.5,,134.500-134.749,finalized,2022-08-16 14:51:54,2022-08-16
28,89,82,0,1660661514,0.0,18,11,0,,USDJPY-22AUG16-18-B134.675,between,134.749,134.5,,134.500-134.749,finalized,2022-08-16 14:51:54,2022-08-16
29,89,83,0,1660661514,0.0,17,11,0,,USDJPY-22AUG16-18-B134.675,between,134.749,134.5,,134.500-134.749,finalized,2022-08-16 14:51:54,2022-08-16
30,89,83,0,1660661514,0.0,17,11,0,,USDJPY-22AUG16-18-B134.675,between,134.749,134.5,,134.500-134.749,finalized,2022-08-16 14:51:54,2022-08-16
31,87,83,0,1660661514,0.0,17,13,0,,USDJPY-22AUG16-18-B134.675,between,134.749,134.5,,134.500-134.749,finalized,2022-08-16 14:51:54,2022-08-16
32,87,83,0,1660661514,0.0,17,13,0,,USDJPY-22AUG16-18-B134.675,between,134.749,134.5,,134.500-134.749,finalized,2022-08-16 14:51:54,2022-08-16
33,99,0,0,1660661514,0.0,100,1,0,,USDJPY-22AUG16-18-B134.875,between,135.0,134.75,,134.750-135.000,finalized,2022-08-16 14:51:54,2022-08-16
34,98,0,0,1660661514,0.0,100,2,0,,USDJPY-22AUG16-18-B134.875,between,135.0,134.75,,134.750-135.000,finalized,2022-08-16 14:51:54,2022-08-16
35,98,95,0,1660661514,0.0,5,2,0,,USDJPY-22AUG16-18-B134.875,between,135.0,134.75,,134.750-135.000,finalized,2022-08-16 14:51:54,2022-08-16
36,98,95,0,1660661514,0.0,5,2,0,,USDJPY-22AUG16-18-B134.875,between,135.0,134.75,,134.750-135.000,finalized,2022-08-16 14:51:54,2022-08-16
37,98,95,0,1660661514,0.0,5,2,0,,USDJPY-22AUG16-18-B134.875,between,135.0,134.75,,134.750-135.000,finalized,2022-08-16 14:51:54,2022-08-16
38,62,57,0,1660661515,0.0,43,38,0,,USDJPY-22AUG16-18-B134.375,between,134.499,134.25,,134.250-134.499,finalized,2022-08-16 14:51:55,2022-08-16
39,95,90,0,1660661573,0.0,10,5,0,,USDJPY-22AUG16-18-B133.875,between,133.999,133.75,,133.750-133.999,finalized,2022-08-16 14:52:53,2022-08-16
40,95,90,0,1660661573,0.0,10,5,0,,USDJPY-22AUG16-18-B133.875,between,133.999,133.75,,133.750-133.999,finalized,2022-08-16 14:52:53,2022-08-16
41,95,91,0,1660661573,0.0,9,5,0,,USDJPY-22AUG16-18-B133.875,between,133.999,133.75,,133.750-133.999,finalized,2022-08-16 14:52:53,2022-08-16
42,94,91,0,1660661573,0.0,9,6,0,,USDJPY-22AUG16-18-B133.875,between,133.999,133.75,,133.750-133.999,finalized,2022-08-16 14:52:53,2022-08-16
43,94,91,0,1660661692,0.0,9,6,0,,USDJPY-22AUG16-18-B133.875,between,133.999,133.75,,133.750-133.999,finalized,2022-08-16 14:54:52,2022-08-16
44,96,91,0,1660661692,0.0,9,4,0,,USDJPY-22AUG16-18-B133.875,between,133.999,133.75,,133.750-133.999,finalized,2022-08-16 14:54:52,2022-08-16
45,100,91,0,1660661692,0.0,9,0,0,,USDJPY-22AUG16-18-B133.875,between,133.999,133.75,,133.750-133.999,finalized,2022-08-16 14:54:52,2022-08-16
46,74,69,0,1660661692,0.0,31,26,0,,USDJPY-22AUG16-18-B134.125,between,134.249,134.0,,134.000-134.249,finalized,2022-08-16 14:54:52,2022-08-16
47,74,69,0,1660661692,0.0,31,26,0,,USDJPY-22AUG16-18-B134.125,between,134.249,134.0,,134.000-134.249,finalized,2022-08-16 14:54:52,2022-08-16
48,100,69,0,1660661692,0.0,31,0,0,,USDJPY-22AUG16-18-B134.125,between,134.249,134.0,,134.000-134.249,finalized,2022-08-16 14:54:52,2022-08-16
49,100,69,0,1660661692,0.0,31,0,0,,USDJPY-22AUG16-18-B134.125,between,134.249,134.0,,134.000-134.249,finalized,2022-08-16 14:54:52,2022-08-16
50,100,67,0,1660661692,0.0,33,0,0,,USDJPY-22AUG16-18-B134.125,between,134.249,134.0,,134.000-134.249,finalized,2022-08-16 14:54:52,2022-08-16
51,100,0,0,1660661692,0.0,100,0,0,,USDJPY-22AUG16-18-B134.125,between,134.249,134.0,,134.000-134.249,finalized,2022-08-16 14:54:52,2022-08-16
52,62,56,0,1660661692,0.0,44,38,0,,USDJPY-22AUG16-18-B134.375,between,134.499,134.25,,134.250-134.499,finalized,2022-08-16 14:54:52,2022-08-16
53,62,56,0,1660661692,0.0,44,38,0,,USDJPY-22AUG16-18-B134.375,between,134.499,134.25,,134.250-134.499,finalized,2022-08-16 14:54:52,2022-08-16
54,62,55,0,1660661692,0.0,45,38,0,,USDJPY-22AUG16-18-B134.375,between,134.499,134.25,,134.250-134.499,finalized,2022-08-16 14:54:52,2022-08-16
55,62,55,0,1660661692,0.0,45,38,0,,USDJPY-22AUG16-18-B134.375,between,134.499,134.25,,134.250-134.499,finalized,2022-08-16 14:54:52,2022-08-16
56,98,95,0,1660661692,0.0,5,2,0,,USDJPY-22AUG16-18-B134.875,between,135.0,134.75,,134.750-135.000,finalized,2022-08-16 14:54:52,2022-08-16
57,98,95,0,1660661692,0.0,5,2,0,,USDJPY-22AUG16-18-B134.875,between,135.0,134.75,,134.750-135.000,finalized,2022-08-16 14:54:52,2022-08-16
58,98,93,0,1660661692,0.0,7,2,0,,USDJPY-22AUG16-18-B134.875,between,135.0,134.75,,134.750-135.000,finalized,2022-08-16 14:54:52,2022-08-16
59,98,95,0,1660661692,0.0,5,2,0,,USDJPY-22AUG16-18-T133.750,less,133.75,,,<133.750,finalized,2022-08-16 14:54:52,2022-08-16
60,99,95,0,1660661692,0.0,5,1,0,,USDJPY-22AUG16-18-T133.750,less,133.75,,,<133.750,finalized,2022-08-16 14:54:52,2022-08-16
61,87,83,0,1660661693,0.0,17,13,0,,USDJPY-22AUG16-18-B134.675,between,134.749,134.5,,134.500-134.749,finalized,2022-08-16 14:54:53,2022-08-16
62,88,83,0,1660661693,0.0,17,12,0,,USDJPY-22AUG16-18-B134.675,between,134.749,134.5,,134.500-134.749,finalized,2022-08-16 14:54:53,2022-08-16
63,88,83,0,1660661693,0.0,17,12,0,,USDJPY-22AUG16-18-B134.675,between,134.749,134.5,,134.500-134.749,finalized,2022-08-16 14:54:53,2022-08-16
64,100,91,0,1660661694,0.0,9,0,0,,USDJPY-22AUG16-18-B133.875,between,133.999,133.75,,133.750-133.999,finalized,2022-08-16 14:54:54,2022-08-16
65,100,91,0,1660661694,0.0,9,0,0,,USDJPY-22AUG16-18-B133.875,between,133.999,133.75,,133.750-133.999,finalized,2022-08-16 14:54:54,2022-08-16
66,89,83,0,1660661694,0.0,17,11,0,,USDJPY-22AUG16-18-B134.675,between,134.749,134.5,,134.500-134.749,finalized,2022-08-16 14:54:54,2022-08-16
67,89,0,0,1660661694,0.0,100,11,0,,USDJPY-22AUG16-18-B134.675,between,134.749,134.5,,134.500-134.749,finalized,2022-08-16 14:54:54,2022-08-16
68,100,0,0,1660661694,0.0,100,0,0,,USDJPY-22AUG16-18-B134.675,between,134.749,134.5,,134.500-134.749,finalized,2022-08-16 14:54:54,2022-08-16
69,98,93,0,1660661694,0.0,7,2,0,,USDJPY-22AUG16-18-B134.875,between,135.0,134.75,,134.750-135.000,finalized,2022-08-16 14:54:54,2022-08-16
70,99,95,0,1660661694,0.0,5,1,0,,USDJPY-22AUG16-18-T133.750,less,133.75,,,<133.750,finalized,2022-08-16 14:54:54,2022-08-16
71,100,74,0,1660661777,0.0,26,0,0,,USDJPY-22AUG16-18-B134.125,between,134.249,134.0,,134.000-134.249,finalized,2022-08-16 14:56:17,2022-08-16
72,81,74,0,1660661777,0.0,26,19,0,,USDJPY-22AUG16-18-B134.125,between,134.249,134.0,,134.000-134.249,finalized,2022-08-16 14:56:17,2022-08-16
73,81,74,0,1660661777,0.0,26,19,0,,USDJPY-22AUG16-18-B134.125,between,134.249,134.0,,134.000-134.249,finalized,2022-08-16 14:56:17,2022-08-16
74,81,74,0,1660661777,0.0,26,19,0,,USDJPY-22AUG16-18-B134.125,between,134.249,134.0,,134.000-134.249,finalized,2022-08-16 14:56:17,2022-08-16
75,80,74,0,1660661777,0.0,26,20,0,,USDJPY-22AUG16-18-B134.125,between,134.249,134.0,,134.000-134.249,finalized,2022-08-16 14:56:17,2022-08-16
76,80,75,0,1660661777,0.0,25,20,0,,USDJPY-22AUG16-18-B134.125,between,134.249,134.0,,134.000-134.249,finalized,2022-08-16 14:56:17,2022-08-16
77,62,55,0,1660661777,0.0,45,38,0,,USDJPY-22AUG16-18-B134.375,between,134.499,134.25,,134.250-134.499,finalized,2022-08-16 14:56:17,2022-08-16
78,60,55,0,1660661777,0.0,45,40,0,,USDJPY-22AUG16-18-B134.375,between,134.499,134.25,,134.250-134.499,finalized,2022-08-16 14:56:17,2022-08-16
79,60,55,0,1660661777,0.0,45,40,0,,USDJPY-22AUG16-18-B134.375,between,134.499,134.25,,134.250-134.499,finalized,2022-08-16 14:56:17,2022-08-16
80,60,55,0,1660661777,0.0,45,40,0,,USDJPY-22AUG16-18-B134.375,between,134.499,134.25,,134.250-134.499,finalized,2022-08-16 14:56:17,2022-08-16
81,60,55,0,1660661777,0.0,45,40,0,,USDJPY-22AUG16-18-B134.375,between,134.499,134.25,,134.250-134.499,finalized,2022-08-16 14:56:17,2022-08-16
82,98,93,0,1660661777,0.0,7,2,0,,USDJPY-22AUG16-18-B134.875,between,135.0,134.75,,134.750-135.000,finalized,2022-08-16 14:56:17,2022-08-16
83,98,93,0,1660661777,0.0,7,2,0,,USDJPY-22AUG16-18-B134.875,between,135.0,134.75,,134.750-135.000,finalized,2022-08-16 14:56:17,2022-08-16
84,98,93,0,1660661777,0.0,7,2,0,,USDJPY-22AUG16-18-B134.875,between,135.0,134.75,,134.750-135.000,finalized,2022-08-16 14:56:17,2022-08-16
85,97,93,0,1660661777,0.0,7,3,0,,USDJPY-22AUG16-18-B134.875,between,135.0,134.75,,134.750-135.000,finalized,2022-08-16 14:56:17,2022-08-16
86,97,93,0,1660661777,0.0,7,3,0,,USDJPY-22AUG16-18-B134.875,between,135.0,134.75,,134.750-135.000,finalized,2022-08-16 14:56:17,2022-08-16
87,100,96,0,1660661777,0.0,4,0,0,,USDJPY-22AUG16-18-T135.000,greater,,135.0,,>135.000,finalized,2022-08-16 14:56:17,2022-08-16
88,100,93,0,1660661778,0.0,7,0,0,,USDJPY-22AUG16-18-B133.875,between,133.999,133.75,,133.750-133.999,finalized,2022-08-16 14:56:18,2022-08-16
89,100,93,0,1660661778,0.0,7,0,0,,USDJPY-22AUG16-18-B133.875,between,133.999,133.75,,133.750-133.999,finalized,2022-08-16 14:56:18,2022-08-16
90,96,93,0,1660661778,0.0,7,4,0,,USDJPY-22AUG16-18-B133.875,between,133.999,133.75,,133.750-133.999,finalized,2022-08-16 14:56:18,2022-08-16
91,84,0,0,1660661778,0.0,100,16,0,,USDJPY-22AUG16-18-B134.675,between,134.749,134.5,,134.500-134.749,finalized,2022-08-16 14:56:18,2022-08-16
92,84,78,0,1660661778,0.0,22,16,0,,USDJPY-22AUG16-18-B134.675,between,134.749,134.5,,134.500-134.749,finalized,2022-08-16 14:56:18,2022-08-16
93,84,78,0,1660661778,0.0,22,16,0,,USDJPY-22AUG16-18-B134.675,between,134.749,134.5,,134.500-134.749,finalized,2022-08-16 14:56:18,2022-08-16
94,84,78,0,1660661778,0.0,22,16,0,,USDJPY-22AUG16-18-B134.675,between,134.749,134.5,,134.500-134.749,finalized,2022-08-16 14:56:18,2022-08-16
95,97,93,0,1660661778,0.0,7,3,0,,USDJPY-22AUG16-18-B134.875,between,135.0,134.75,,134.750-135.000,finalized,2022-08-16 14:56:18,2022-08-16
96,99,95,0,1660661778,0.0,5,1,0,,USDJPY-22AUG16-18-T133.750,less,133.75,,,<133.750,finalized,2022-08-16 14:56:18,2022-08-16
97,96,93,0,1660661779,0.0,7,4,0,,USDJPY-22AUG16-18-B133.875,between,133.999,133.75,,133.750-133.999,finalized,2022-08-16 14:56:19,2022-08-16
98,96,93,0,1660661779,0.0,7,4,0,,USDJPY-22AUG16-18-B133.875,between,133.999,133.75,,133.750-133.999,finalized,2022-08-16 14:56:19,2022-08-16
99,96,93,0,1660661779,0.0,7,4,0,,USDJPY-22AUG16-18-B133.875,between,133.999,133.75,,133.750-133.999,finalized,2022-08-16 14:56:19,2022-08-16
100,83,78,0,1660661779,0.0,22,17,0,,USDJPY-22AUG16-18-B134.675,between,134.749,134.5,,134.500-134.749,finalized,2022-08-16 14:56:19,2022-08-16
101,83,78,0,1660661779,0.0,22,17,0,,USDJPY-22AUG16-18-B134.675,between,134.749,134.5,,134.500-134.749,finalized,2022-08-16 14:56:19,2022-08-16
102,99,96,0,1660661779,0.0,4,1,0,,USDJPY-22AUG16-18-T133.750,less,133.75,,,<133.750,finalized,2022-08-16 14:56:19,2022-08-16
103,99,96,0,1660661779,0.0,4,1,0,,USDJPY-22AUG16-18-T133.750,less,133.75,,,<133.750,finalized,2022-08-16 14:56:19,2022-08-16
104,99,96,0,1660661779,0.0,4,1,0,,USDJPY-22AUG16-18-T135.000,greater,,135.0,,>135.000,finalized,2022-08-16 14:56:19,2022-08-16
105,81,75,0,1660661869,0.0,25,19,0,,USDJPY-22AUG16-18-B134.125,between,134.249,134.0,,134.000-134.249,finalized,2022-08-16 14:57:49,2022-08-16
106,82,75,0,1660661869,0.0,25,18,0,,USDJPY-22AUG16-18-B134.125,between,134.249,134.0,,134.000-134.249,finalized,2022-08-16 14:57:49,2022-08-16
107,100,75,0,1660661869,0.0,25,0,0,,USDJPY-22AUG16-18-B134.125,between,134.249,134.0,,134.000-134.249,finalized,2022-08-16 14:57:49,2022-08-16
108,83,78,0,1660661869,0.0,22,17,0,,USDJPY-22AUG16-18-B134.675,between,134.749,134.5,,134.500-134.749,finalized,2022-08-16 14:57:49,2022-08-16
109,83,77,0,1660661869,0.0,23,17,0,,USDJPY-22AUG16-18-B134.675,between,134.749,134.5,,134.500-134.749,finalized,2022-08-16 14:57:49,2022-08-16
110,83,76,0,1660661869,0.0,24,17,0,,USDJPY-22AUG16-18-B134.675,between,134.749,134.5,,134.500-134.749,finalized,2022-08-16 14:57:49,2022-08-16
111,97,93,0,1660661870,0.0,7,3,0,,USDJPY-22AUG16-18-B133.875,between,133.999,133.75,,133.750-133.999,finalized,2022-08-16 14:57:50,2022-08-16
112,100,75,0,1660661870,0.0,25,0,0,,USDJPY-22AUG16-18-B134.125,between,134.249,134.0,,134.000-134.249,finalized,2022-08-16 14:57:50,2022-08-16
113,100,75,0,1660661870,0.0,25,0,0,,USDJPY-22AUG16-18-B134.125,between,134.249,134.0,,134.000-134.249,finalized,2022-08-16 14:57:50,2022-08-16
114,100,0,0,1660661870,0.0,100,0,0,,USDJPY-22AUG16-18-B134.125,between,134.249,134.0,,134.000-134.249,finalized,2022-08-16 14:57:50,2022-08-16
115,83,76,0,1660661870,0.0,24,17,0,,USDJPY-22AUG16-18-B134.675,between,134.749,134.5,,134.500-134.749,finalized,2022-08-16 14:57:50,2022-08-16
116,100,76,0,1660661870,0.0,24,0,0,,USDJPY-22AUG16-18-B134.675,between,134.749,134.5,,134.500-134.749,finalized,2022-08-16 14:57:50,2022-08-16
117,100,0,0,1660661870,0.0,100,0,0,,USDJPY-22AUG16-18-B134.675,between,134.749,134.5,,134.500-134.749,finalized,2022-08-16 14:57:50,2022-08-16
118,97,93,0,1660661871,0.0,7,3,0,,USDJPY-22AUG16-18-B133.875,between,133.999,133.75,,133.750-133.999,finalized,2022-08-16 14:57:51,2022-08-16
119,60,55,0,1660661871,0.0,45,40,0,,USDJPY-22AUG16-18-B134.375,between,134.499,134.25,,134.250-134.499,finalized,2022-08-16 14:57:51,2022-08-16
120,97,93,0,1660661871,0.0,7,3,0,,USDJPY-22AUG16-18-B134.875,between,135.0,134.75,,134.750-135.000,finalized,2022-08-16 14:57:51,2022-08-16
121,97,93,0,1660661871,0.0,7,3,0,,USDJPY-22AUG16-18-B134.875,between,135.0,134.75,,134.750-135.000,finalized,2022-08-16 14:57:51,2022-08-16
122,99,96,0,1660661871,0.0,4,1,0,,USDJPY-22AUG16-18-T133.750,less,133.75,,,<133.750,finalized,2022-08-16 14:57:51,2022-08-16
123,99,96,0,1660661871,0.0,4,1,0,,USDJPY-22AUG16-18-T135.000,greater,,135.0,,>135.000,finalized,2022-08-16 14:57:51,2022-08-16
124,100,78,0,1660661872,0.0,22,0,0,,USDJPY-22AUG16-18-B134.125,between,134.249,134.0,,134.000-134.249,finalized,2022-08-16 14:57:52,2022-08-16
125,100,78,0,1660661872,0.0,22,0,0,,USDJPY-22AUG16-18-B134.125,between,134.249,134.0,,134.000-134.249,finalized,2022-08-16 14:57:52,2022-08-16
126,83,78,0,1660661872,0.0,22,17,0,,USDJPY-22AUG16-18-B134.125,between,134.249,134.0,,134.000-134.249,finalized,2022-08-16 14:57:52,2022-08-16
127,83,78,0,1660661872,0.0,22,17,0,,USDJPY-22AUG16-18-B134.125,between,134.249,134.0,,134.000-134.249,finalized,2022-08-16 14:57:52,2022-08-16
128,83,78,0,1660661872,0.0,22,17,0,,USDJPY-22AUG16-18-B134.125,between,134.249,134.0,,134.000-134.249,finalized,2022-08-16 14:57:52,2022-08-16
129,80,0,0,1660661872,0.0,100,20,0,,USDJPY-22AUG16-18-B134.675,between,134.749,134.5,,134.500-134.749,finalized,2022-08-16 14:57:52,2022-08-16
130,80,0,0,1660661872,0.0,100,20,0,,USDJPY-22AUG16-18-B134.675,between,134.749,134.5,,134.500-134.749,finalized,2022-08-16 14:57:52,2022-08-16
131,80,0,0,1660661872,0.0,100,20,0,,USDJPY-22AUG16-18-B134.675,between,134.749,134.5,,134.500-134.749,finalized,2022-08-16 14:57:52,2022-08-16
132,96,93,0,1660661872,0.0,7,4,0,,USDJPY-22AUG16-18-B134.875,between,135.0,134.75,,134.750-135.000,finalized,2022-08-16 14:57:52,2022-08-16
133,96,93,0,1660661872,0.0,7,4,0,,USDJPY-22AUG16-18-B134.875,between,135.0,134.75,,134.750-135.000,finalized,2022-08-16 14:57:52,2022-08-16
134,99,96,0,1660661872,0.0,4,1,0,,USDJPY-22AUG16-18-T133.750,less,133.75,,,<133.750,finalized,2022-08-16 14:57:52,2022-08-16
135,99,96,0,1660661872,0.0,4,1,0,,USDJPY-22AUG16-18-T135.000,greater,,135.0,,>135.000,finalized,2022-08-16 14:57:52,2022-08-16
136,97,93,0,1660661873,0.0,7,3,0,,USDJPY-22AUG16-18-B133.875,between,133.999,133.75,,133.750-133.999,finalized,2022-08-16 14:57:53,2022-08-16
137,97,93,0,1660661873,0.0,7,3,0,,USDJPY-22AUG16-18-B133.875,between,133.999,133.75,,133.750-133.999,finalized,2022-08-16 14:57:53,2022-08-16
138,97,93,0,1660661873,0.0,7,3,0,,USDJPY-22AUG16-18-B133.875,between,133.999,133.75,,133.750-133.999,finalized,2022-08-16 14:57:53,2022-08-16
139,83,78,0,1660661873,0.0,22,17,0,,USDJPY-22AUG16-18-B134.125,between,134.249,134.0,,134.000-134.249,finalized,2022-08-16 14:57:53,2022-08-16
140,80,74,0,1660661873,0.0,26,20,0,,USDJPY-22AUG16-18-B134.675,between,134.749,134.5,,134.500-134.749,finalized,2022-08-16 14:57:53,2022-08-16
141,80,75,0,1660661873,0.0,25,20,0,,USDJPY-22AUG16-18-B134.675,between,134.749,134.5,,134.500-134.749,finalized,2022-08-16 14:57:53,2022-08-16
142,80,75,0,1660661873,0.0,25,20,0,,USDJPY-22AUG16-18-B134.675,between,134.749,134.5,,134.500-134.749,finalized,2022-08-16 14:57:53,2022-08-16
143,96,93,0,1660661873,0.0,7,4,0,,USDJPY-22AUG16-18-B134.875,between,135.0,134.75,,134.750-135.000,finalized,2022-08-16 14:57:53,2022-08-16
144,99,96,0,1660661873,0.0,4,1,0,,USDJPY-22AUG16-18-T133.750,less,133.75,,,<133.750,finalized,2022-08-16 14:57:53,2022-08-16
145,99,96,0,1660661873,0.0,4,1,0,,USDJPY-22AUG16-18-T133.750,less,133.75,,,<133.750,finalized,2022-08-16 14:57:53,2022-08-16
146,80,75,0,1660662081,0.0,25,20,0,,USDJPY-22AUG16-18-B134.675,between,134.749,134.5,,134.500-134.749,finalized,2022-08-16 15:01:21,2022-08-16
147,80,73,0,1660662081,0.0,27,20,0,,USDJPY-22AUG16-18-B134.675,between,134.749,134.5,,134.500-134.749,finalized,2022-08-16 15:01:21,2022-08-16
148,97,93,0,1660662082,0.0,7,3,0,,USDJPY-22AUG16-18-B133.875,between,133.999,133.75,,133.750-133.999,finalized,2022-08-16 15:01:22,2022-08-16
149,97,93,0,1660662082,0.0,7,3,0,,USDJPY-22AUG16-18-B133.875,between,133.999,133.75,,133.750-133.999,finalized,2022-08-16 15:01:22,2022-08-16
150,83,78,0,1660662082,0.0,22,17,0,,USDJPY-22AUG16-18-B134.125,between,134.249,134.0,,134.000-134.249,finalized,2022-08-16 15:01:22,2022-08-16
151,83,78,0,1660662082,0.0,22,17,0,,USDJPY-22AUG16-18-B134.125,between,134.249,134.0,,134.000-134.249,finalized,2022-08-16 15:01:22,2022-08-16
152,83,78,0,1660662082,0.0,22,17,0,,USDJPY-22AUG16-18-B134.125,between,134.249,134.0,,134.000-134.249,finalized,2022-08-16 15:01:22,2022-08-16
153,83,0,0,1660662082,0.0,100,17,0,,USDJPY-22AUG16-18-B134.125,between,134.249,134.0,,134.000-134.249,finalized,2022-08-16 15:01:22,2022-08-16
154,84,0,0,1660662082,0.0,100,16,0,,USDJPY-22AUG16-18-B134.125,between,134.249,134.0,,134.000-134.249,finalized,2022-08-16 15:01:22,2022-08-16
155,100,0,0,1660662082,0.0,100,0,0,,USDJPY-22AUG16-18-B134.125,between,134.249,134.0,,134.000-134.249,finalized,2022-08-16 15:01:22,2022-08-16
156,80,73,0,1660662082,0.0,27,20,0,,USDJPY-22AUG16-18-B134.675,between,134.749,134.5,,134.500-134.749,finalized,2022-08-16 15:01:22,2022-08-16
157,80,73,0,1660662082,0.0,27,20,0,,USDJPY-22AUG16-18-B134.675,between,134.749,134.5,,134.500-134.749,finalized,2022-08-16 15:01:22,2022-08-16
158,80,0,0,1660662082,0.0,100,20,0,,USDJPY-22AUG16-18-B134.675,between,134.749,134.5,,134.500-134.749,finalized,2022-08-16 15:01:22,2022-08-16
159,100,0,0,1660662082,0.0,100,0,0,,USDJPY-22AUG16-18-B134.675,between,134.749,134.5,,134.500-134.749,finalized,2022-08-16 15:01:22,2022-08-16
160,96,93,0,1660662082,0.0,7,4,0,,USDJPY-22AUG16-18-B134.875,between,135.0,134.75,,134.750-135.000,finalized,2022-08-16 15:01:22,2022-08-16
161,96,93,0,1660662082,0.0,7,4,0,,USDJPY-22AUG16-18-B134.875,between,135.0,134.75,,134.750-135.000,finalized,2022-08-16 15:01:22,2022-08-16
162,96,93,0,1660662082,0.0,7,4,0,,USDJPY-22AUG16-18-B134.875,between,135.0,134.75,,134.750-135.000,finalized,2022-08-16 15:01:22,2022-08-16
