,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,100,1,0,1680790583,0.0,99,0,0,,EURUSD-23APR0618-B1.085,between,1.08599,1.084,,1.084 to 1.08599,finalized,2023-04-06 14:16:23,2023-04-06
1,95,0,0,1680790583,0.0,100,5,0,,EURUSD-23APR0618-B1.087,between,1.08799,1.086,,1.086 to 1.08799,finalized,2023-04-06 14:16:23,2023-04-06
2,94,0,0,1680790583,0.0,100,6,0,,EURUSD-23APR0618-B1.087,between,1.08799,1.086,,1.086 to 1.08799,finalized,2023-04-06 14:16:23,2023-04-06
3,93,0,0,1680790583,0.0,100,7,0,,EURUSD-23APR0618-B1.087,between,1.08799,1.086,,1.086 to 1.08799,finalized,2023-04-06 14:16:23,2023-04-06
4,93,88,0,1680790583,0.0,12,7,0,,EURUSD-23APR0618-B1.087,between,1.08799,1.086,,1.086 to 1.08799,finalized,2023-04-06 14:16:23,2023-04-06
5,93,90,0,1680790583,0.0,10,7,0,,EURUSD-23APR0618-B1.087,between,1.08799,1.086,,1.086 to 1.08799,finalized,2023-04-06 14:16:23,2023-04-06
6,84,0,0,1680790583,0.0,100,16,0,,EURUSD-23APR0618-B1.089,between,1.08999,1.088,,1.088 to 1.08999,finalized,2023-04-06 14:16:23,2023-04-06
7,82,0,0,1680790583,0.0,100,18,0,,EURUSD-23APR0618-B1.089,between,1.08999,1.088,,1.088 to 1.08999,finalized,2023-04-06 14:16:23,2023-04-06
8,82,77,0,1680790583,0.0,23,18,0,,EURUSD-23APR0618-B1.089,between,1.08999,1.088,,1.088 to 1.08999,finalized,2023-04-06 14:16:23,2023-04-06
9,82,79,0,1680790583,0.0,21,18,0,,EURUSD-23APR0618-B1.089,between,1.08999,1.088,,1.088 to 1.08999,finalized,2023-04-06 14:16:23,2023-04-06
10,100,1,0,1680790583,0.0,99,0,0,,EURUSD-23APR0618-B1.091,between,1.09199,1.09,,1.09 to 1.09199,finalized,2023-04-06 14:16:23,2023-04-06
11,76,1,0,1680790583,0.0,99,24,0,,EURUSD-23APR0618-B1.091,between,1.09199,1.09,,1.09 to 1.09199,finalized,2023-04-06 14:16:23,2023-04-06
12,74,1,0,1680790583,0.0,99,26,0,,EURUSD-23APR0618-B1.091,between,1.09199,1.09,,1.09 to 1.09199,finalized,2023-04-06 14:16:23,2023-04-06
13,74,71,0,1680790583,0.0,29,26,0,,EURUSD-23APR0618-B1.091,between,1.09199,1.09,,1.09 to 1.09199,finalized,2023-04-06 14:16:23,2023-04-06
14,100,1,0,1680790583,0.0,99,0,0,,EURUSD-23APR0618-B1.093,between,1.09399,1.092,,1.092 to 1.09399,finalized,2023-04-06 14:16:23,2023-04-06
15,80,1,0,1680790583,0.0,99,20,0,,EURUSD-23APR0618-B1.093,between,1.09399,1.092,,1.092 to 1.09399,finalized,2023-04-06 14:16:23,2023-04-06
16,78,1,0,1680790583,0.0,99,22,0,,EURUSD-23APR0618-B1.093,between,1.09399,1.092,,1.092 to 1.09399,finalized,2023-04-06 14:16:23,2023-04-06
17,78,73,0,1680790583,0.0,27,22,0,,EURUSD-23APR0618-B1.093,between,1.09399,1.092,,1.092 to 1.09399,finalized,2023-04-06 14:16:23,2023-04-06
18,100,1,0,1680790583,0.0,99,0,0,,EURUSD-23APR0618-T1.08400,less,1.084,,,1.08399 or below,finalized,2023-04-06 14:16:23,2023-04-06
19,100,1,0,1680790583,0.0,99,0,0,,EURUSD-23APR0618-T1.09399,greater,,1.09399,,1.094 or above,finalized,2023-04-06 14:16:23,2023-04-06
20,84,1,0,1680790583,0.0,99,16,0,,EURUSD-23APR0618-T1.09399,greater,,1.09399,,1.094 or above,finalized,2023-04-06 14:16:23,2023-04-06
21,84,79,0,1680790583,0.0,21,16,0,,EURUSD-23APR0618-T1.09399,greater,,1.09399,,1.094 or above,finalized,2023-04-06 14:16:23,2023-04-06
22,94,90,0,1680790640,0.0,10,6,0,,EURUSD-23APR0618-B1.087,between,1.08799,1.086,,1.086 to 1.08799,finalized,2023-04-06 14:17:20,2023-04-06
23,100,90,0,1680790640,0.0,10,0,0,,EURUSD-23APR0618-B1.087,between,1.08799,1.086,,1.086 to 1.08799,finalized,2023-04-06 14:17:20,2023-04-06
24,100,89,0,1680790640,0.0,11,0,0,,EURUSD-23APR0618-B1.087,between,1.08799,1.086,,1.086 to 1.08799,finalized,2023-04-06 14:17:20,2023-04-06
25,100,0,0,1680790640,0.0,100,0,0,,EURUSD-23APR0618-B1.087,between,1.08799,1.086,,1.086 to 1.08799,finalized,2023-04-06 14:17:20,2023-04-06
26,100,1,0,1680790640,0.0,99,0,0,,EURUSD-23APR0618-B1.087,between,1.08799,1.086,,1.086 to 1.08799,finalized,2023-04-06 14:17:20,2023-04-06
27,84,79,0,1680790640,0.0,21,16,0,,EURUSD-23APR0618-B1.089,between,1.08999,1.088,,1.088 to 1.08999,finalized,2023-04-06 14:17:20,2023-04-06
28,100,79,0,1680790640,0.0,21,0,0,,EURUSD-23APR0618-B1.089,between,1.08999,1.088,,1.088 to 1.08999,finalized,2023-04-06 14:17:20,2023-04-06
29,86,79,0,1680790640,0.0,21,14,0,,EURUSD-23APR0618-T1.09399,greater,,1.09399,,1.094 or above,finalized,2023-04-06 14:17:20,2023-04-06
30,100,79,0,1680790640,0.0,21,0,0,,EURUSD-23APR0618-T1.09399,greater,,1.09399,,1.094 or above,finalized,2023-04-06 14:17:20,2023-04-06
31,100,78,0,1680790640,0.0,22,0,0,,EURUSD-23APR0618-T1.09399,greater,,1.09399,,1.094 or above,finalized,2023-04-06 14:17:20,2023-04-06
32,100,0,0,1680790640,0.0,100,0,0,,EURUSD-23APR0618-T1.09399,greater,,1.09399,,1.094 or above,finalized,2023-04-06 14:17:20,2023-04-06
33,100,1,0,1680790640,0.0,99,0,0,,EURUSD-23APR0618-T1.09399,greater,,1.09399,,1.094 or above,finalized,2023-04-06 14:17:20,2023-04-06
34,100,0,0,1680790641,0.0,100,0,0,,EURUSD-23APR0618-B1.085,between,1.08599,1.084,,1.084 to 1.08599,finalized,2023-04-06 14:17:21,2023-04-06
35,100,1,0,1680790641,0.0,99,0,0,,EURUSD-23APR0618-B1.085,between,1.08599,1.084,,1.084 to 1.08599,finalized,2023-04-06 14:17:21,2023-04-06
36,100,0,0,1680790641,0.0,100,0,0,,EURUSD-23APR0618-B1.087,between,1.08799,1.086,,1.086 to 1.08799,finalized,2023-04-06 14:17:21,2023-04-06
37,100,1,0,1680790641,0.0,99,0,0,,EURUSD-23APR0618-B1.087,between,1.08799,1.086,,1.086 to 1.08799,finalized,2023-04-06 14:17:21,2023-04-06
38,93,1,0,1680790641,0.0,99,7,0,,EURUSD-23APR0618-B1.087,between,1.08799,1.086,,1.086 to 1.08799,finalized,2023-04-06 14:17:21,2023-04-06
39,92,1,0,1680790641,0.0,99,8,0,,EURUSD-23APR0618-B1.087,between,1.08799,1.086,,1.086 to 1.08799,finalized,2023-04-06 14:17:21,2023-04-06
40,92,87,0,1680790641,0.0,13,8,0,,EURUSD-23APR0618-B1.087,between,1.08799,1.086,,1.086 to 1.08799,finalized,2023-04-06 14:17:21,2023-04-06
41,92,88,0,1680790641,0.0,12,8,0,,EURUSD-23APR0618-B1.087,between,1.08799,1.086,,1.086 to 1.08799,finalized,2023-04-06 14:17:21,2023-04-06
42,100,0,0,1680790641,0.0,100,0,0,,EURUSD-23APR0618-B1.089,between,1.08999,1.088,,1.088 to 1.08999,finalized,2023-04-06 14:17:21,2023-04-06
43,100,1,0,1680790641,0.0,99,0,0,,EURUSD-23APR0618-B1.089,between,1.08999,1.088,,1.088 to 1.08999,finalized,2023-04-06 14:17:21,2023-04-06
44,100,0,0,1680790641,0.0,100,0,0,,EURUSD-23APR0618-B1.089,between,1.08999,1.088,,1.088 to 1.08999,finalized,2023-04-06 14:17:21,2023-04-06
45,100,0,0,1680790641,0.0,100,0,0,,EURUSD-23APR0618-B1.089,between,1.08999,1.088,,1.088 to 1.08999,finalized,2023-04-06 14:17:21,2023-04-06
46,83,0,0,1680790641,0.0,100,17,0,,EURUSD-23APR0618-B1.089,between,1.08999,1.088,,1.088 to 1.08999,finalized,2023-04-06 14:17:21,2023-04-06
47,80,0,0,1680790641,0.0,100,20,0,,EURUSD-23APR0618-B1.089,between,1.08999,1.088,,1.088 to 1.08999,finalized,2023-04-06 14:17:21,2023-04-06
48,80,75,0,1680790641,0.0,25,20,0,,EURUSD-23APR0618-B1.089,between,1.08999,1.088,,1.088 to 1.08999,finalized,2023-04-06 14:17:21,2023-04-06
49,80,77,0,1680790641,0.0,23,20,0,,EURUSD-23APR0618-B1.089,between,1.08999,1.088,,1.088 to 1.08999,finalized,2023-04-06 14:17:21,2023-04-06
50,100,71,0,1680790641,0.0,29,0,0,,EURUSD-23APR0618-B1.091,between,1.09199,1.09,,1.09 to 1.09199,finalized,2023-04-06 14:17:21,2023-04-06
51,100,0,0,1680790641,0.0,100,0,0,,EURUSD-23APR0618-B1.091,between,1.09199,1.09,,1.09 to 1.09199,finalized,2023-04-06 14:17:21,2023-04-06
52,100,1,0,1680790641,0.0,99,0,0,,EURUSD-23APR0618-B1.091,between,1.09199,1.09,,1.09 to 1.09199,finalized,2023-04-06 14:17:21,2023-04-06
53,100,0,0,1680790641,0.0,100,0,0,,EURUSD-23APR0618-B1.091,between,1.09199,1.09,,1.09 to 1.09199,finalized,2023-04-06 14:17:21,2023-04-06
54,100,1,0,1680790641,0.0,99,0,0,,EURUSD-23APR0618-B1.091,between,1.09199,1.09,,1.09 to 1.09199,finalized,2023-04-06 14:17:21,2023-04-06
55,100,0,0,1680790641,0.0,100,0,0,,EURUSD-23APR0618-B1.091,between,1.09199,1.09,,1.09 to 1.09199,finalized,2023-04-06 14:17:21,2023-04-06
56,78,0,0,1680790641,0.0,100,22,0,,EURUSD-23APR0618-B1.091,between,1.09199,1.09,,1.09 to 1.09199,finalized,2023-04-06 14:17:21,2023-04-06
57,76,0,0,1680790641,0.0,100,24,0,,EURUSD-23APR0618-B1.091,between,1.09199,1.09,,1.09 to 1.09199,finalized,2023-04-06 14:17:21,2023-04-06
58,76,2,0,1680790641,0.0,98,24,0,,EURUSD-23APR0618-B1.091,between,1.09199,1.09,,1.09 to 1.09199,finalized,2023-04-06 14:17:21,2023-04-06
59,74,2,0,1680790641,0.0,98,26,0,,EURUSD-23APR0618-B1.091,between,1.09199,1.09,,1.09 to 1.09199,finalized,2023-04-06 14:17:21,2023-04-06
60,74,68,0,1680790641,0.0,32,26,0,,EURUSD-23APR0618-B1.091,between,1.09199,1.09,,1.09 to 1.09199,finalized,2023-04-06 14:17:21,2023-04-06
61,74,70,0,1680790641,0.0,30,26,0,,EURUSD-23APR0618-B1.091,between,1.09199,1.09,,1.09 to 1.09199,finalized,2023-04-06 14:17:21,2023-04-06
62,80,73,0,1680790641,0.0,27,20,0,,EURUSD-23APR0618-B1.093,between,1.09399,1.092,,1.092 to 1.09399,finalized,2023-04-06 14:17:21,2023-04-06
63,100,73,0,1680790641,0.0,27,0,0,,EURUSD-23APR0618-B1.093,between,1.09399,1.092,,1.092 to 1.09399,finalized,2023-04-06 14:17:21,2023-04-06
64,100,0,0,1680790641,0.0,100,0,0,,EURUSD-23APR0618-B1.093,between,1.09399,1.092,,1.092 to 1.09399,finalized,2023-04-06 14:17:21,2023-04-06
65,100,1,0,1680790641,0.0,99,0,0,,EURUSD-23APR0618-B1.093,between,1.09399,1.092,,1.092 to 1.09399,finalized,2023-04-06 14:17:21,2023-04-06
66,81,1,0,1680790641,0.0,99,19,0,,EURUSD-23APR0618-B1.093,between,1.09399,1.092,,1.092 to 1.09399,finalized,2023-04-06 14:17:21,2023-04-06
67,79,1,0,1680790641,0.0,99,21,0,,EURUSD-23APR0618-B1.093,between,1.09399,1.092,,1.092 to 1.09399,finalized,2023-04-06 14:17:21,2023-04-06
68,79,76,0,1680790641,0.0,24,21,0,,EURUSD-23APR0618-B1.093,between,1.09399,1.092,,1.092 to 1.09399,finalized,2023-04-06 14:17:21,2023-04-06
69,100,0,0,1680790641,0.0,100,0,0,,EURUSD-23APR0618-T1.08400,less,1.084,,,1.08399 or below,finalized,2023-04-06 14:17:21,2023-04-06
70,100,2,0,1680790641,0.0,98,0,0,,EURUSD-23APR0618-T1.08400,less,1.084,,,1.08399 or below,finalized,2023-04-06 14:17:21,2023-04-06
71,100,0,0,1680790641,0.0,100,0,0,,EURUSD-23APR0618-T1.08400,less,1.084,,,1.08399 or below,finalized,2023-04-06 14:17:21,2023-04-06
72,100,1,0,1680790641,0.0,99,0,0,,EURUSD-23APR0618-T1.08400,less,1.084,,,1.08399 or below,finalized,2023-04-06 14:17:21,2023-04-06
73,100,0,0,1680790641,0.0,100,0,0,,EURUSD-23APR0618-T1.09399,greater,,1.09399,,1.094 or above,finalized,2023-04-06 14:17:21,2023-04-06
74,89,0,0,1680790641,0.0,100,11,0,,EURUSD-23APR0618-T1.09399,greater,,1.09399,,1.094 or above,finalized,2023-04-06 14:17:21,2023-04-06
75,88,0,0,1680790641,0.0,100,12,0,,EURUSD-23APR0618-T1.09399,greater,,1.09399,,1.094 or above,finalized,2023-04-06 14:17:21,2023-04-06
76,87,0,0,1680790641,0.0,100,13,0,,EURUSD-23APR0618-T1.09399,greater,,1.09399,,1.094 or above,finalized,2023-04-06 14:17:21,2023-04-06
77,87,81,0,1680790641,0.0,19,13,0,,EURUSD-23APR0618-T1.09399,greater,,1.09399,,1.094 or above,finalized,2023-04-06 14:17:21,2023-04-06
78,87,83,0,1680790641,0.0,17,13,0,,EURUSD-23APR0618-T1.09399,greater,,1.09399,,1.094 or above,finalized,2023-04-06 14:17:21,2023-04-06
79,100,3,0,1680790642,0.0,97,0,0,,EURUSD-23APR0618-T1.08400,less,1.084,,,1.08399 or below,finalized,2023-04-06 14:17:22,2023-04-06
80,100,2,0,1680790642,0.0,98,0,0,,EURUSD-23APR0618-T1.08400,less,1.084,,,1.08399 or below,finalized,2023-04-06 14:17:22,2023-04-06
81,100,0,0,1680790642,0.0,100,0,0,,EURUSD-23APR0618-T1.08400,less,1.084,,,1.08399 or below,finalized,2023-04-06 14:17:22,2023-04-06
82,100,4,0,1680790642,0.0,96,0,0,,EURUSD-23APR0618-T1.08400,less,1.084,,,1.08399 or below,finalized,2023-04-06 14:17:22,2023-04-06
83,100,1,0,1680790642,0.0,99,0,0,,EURUSD-23APR0618-T1.08400,less,1.084,,,1.08399 or below,finalized,2023-04-06 14:17:22,2023-04-06
84,100,0,0,1680790642,0.0,100,0,0,,EURUSD-23APR0618-T1.08400,less,1.084,,,1.08399 or below,finalized,2023-04-06 14:17:22,2023-04-06
85,100,1,0,1680790642,0.0,99,0,0,,EURUSD-23APR0618-T1.08400,less,1.084,,,1.08399 or below,finalized,2023-04-06 14:17:22,2023-04-06
86,100,0,0,1680790642,0.0,100,0,0,,EURUSD-23APR0618-T1.08400,less,1.084,,,1.08399 or below,finalized,2023-04-06 14:17:22,2023-04-06
87,100,6,0,1680790642,0.0,94,0,0,,EURUSD-23APR0618-T1.08400,less,1.084,,,1.08399 or below,finalized,2023-04-06 14:17:22,2023-04-06
88,100,0,0,1680790642,0.0,100,0,0,,EURUSD-23APR0618-T1.08400,less,1.084,,,1.08399 or below,finalized,2023-04-06 14:17:22,2023-04-06
89,92,89,0,1680790656,0.0,11,8,0,,EURUSD-23APR0618-B1.087,between,1.08799,1.086,,1.086 to 1.08799,finalized,2023-04-06 14:17:36,2023-04-06
90,86,83,0,1680790656,0.0,17,14,0,,EURUSD-23APR0618-T1.09399,greater,,1.09399,,1.094 or above,finalized,2023-04-06 14:17:36,2023-04-06
91,93,89,0,1680790700,0.0,11,7,0,,EURUSD-23APR0618-B1.087,between,1.08799,1.086,,1.086 to 1.08799,finalized,2023-04-06 14:18:20,2023-04-06
92,100,89,0,1680790700,0.0,11,0,0,,EURUSD-23APR0618-B1.087,between,1.08799,1.086,,1.086 to 1.08799,finalized,2023-04-06 14:18:20,2023-04-06
93,100,88,0,1680790700,0.0,12,0,0,,EURUSD-23APR0618-B1.087,between,1.08799,1.086,,1.086 to 1.08799,finalized,2023-04-06 14:18:20,2023-04-06
94,100,0,0,1680790700,0.0,100,0,0,,EURUSD-23APR0618-B1.087,between,1.08799,1.086,,1.086 to 1.08799,finalized,2023-04-06 14:18:20,2023-04-06
95,100,1,0,1680790700,0.0,99,0,0,,EURUSD-23APR0618-B1.087,between,1.08799,1.086,,1.086 to 1.08799,finalized,2023-04-06 14:18:20,2023-04-06
96,100,77,0,1680790700,0.0,23,0,0,,EURUSD-23APR0618-B1.089,between,1.08999,1.088,,1.088 to 1.08999,finalized,2023-04-06 14:18:20,2023-04-06
97,100,75,0,1680790700,0.0,25,0,0,,EURUSD-23APR0618-B1.089,between,1.08999,1.088,,1.088 to 1.08999,finalized,2023-04-06 14:18:20,2023-04-06
98,81,76,0,1680790700,0.0,24,19,0,,EURUSD-23APR0618-B1.093,between,1.09399,1.092,,1.092 to 1.09399,finalized,2023-04-06 14:18:20,2023-04-06
99,100,76,0,1680790700,0.0,24,0,0,,EURUSD-23APR0618-B1.093,between,1.09399,1.092,,1.092 to 1.09399,finalized,2023-04-06 14:18:20,2023-04-06
100,100,75,0,1680790700,0.0,25,0,0,,EURUSD-23APR0618-B1.093,between,1.09399,1.092,,1.092 to 1.09399,finalized,2023-04-06 14:18:20,2023-04-06
101,100,74,0,1680790700,0.0,26,0,0,,EURUSD-23APR0618-B1.093,between,1.09399,1.092,,1.092 to 1.09399,finalized,2023-04-06 14:18:20,2023-04-06
102,100,0,0,1680790700,0.0,100,0,0,,EURUSD-23APR0618-B1.093,between,1.09399,1.092,,1.092 to 1.09399,finalized,2023-04-06 14:18:20,2023-04-06
103,100,1,0,1680790700,0.0,99,0,0,,EURUSD-23APR0618-B1.093,between,1.09399,1.092,,1.092 to 1.09399,finalized,2023-04-06 14:18:20,2023-04-06
104,87,83,0,1680790700,0.0,17,13,0,,EURUSD-23APR0618-T1.09399,greater,,1.09399,,1.094 or above,finalized,2023-04-06 14:18:20,2023-04-06
105,89,83,0,1680790700,0.0,17,11,0,,EURUSD-23APR0618-T1.09399,greater,,1.09399,,1.094 or above,finalized,2023-04-06 14:18:20,2023-04-06
106,100,83,0,1680790700,0.0,17,0,0,,EURUSD-23APR0618-T1.09399,greater,,1.09399,,1.094 or above,finalized,2023-04-06 14:18:20,2023-04-06
107,100,82,0,1680790700,0.0,18,0,0,,EURUSD-23APR0618-T1.09399,greater,,1.09399,,1.094 or above,finalized,2023-04-06 14:18:20,2023-04-06
108,100,0,0,1680790700,0.0,100,0,0,,EURUSD-23APR0618-T1.09399,greater,,1.09399,,1.094 or above,finalized,2023-04-06 14:18:20,2023-04-06
109,100,1,0,1680790700,0.0,99,0,0,,EURUSD-23APR0618-T1.09399,greater,,1.09399,,1.094 or above,finalized,2023-04-06 14:18:20,2023-04-06
110,100,0,0,1680790701,0.0,100,0,0,,EURUSD-23APR0618-B1.085,between,1.08599,1.084,,1.084 to 1.08599,finalized,2023-04-06 14:18:21,2023-04-06
111,100,1,0,1680790701,0.0,99,0,0,,EURUSD-23APR0618-B1.085,between,1.08599,1.084,,1.084 to 1.08599,finalized,2023-04-06 14:18:21,2023-04-06
112,100,0,0,1680790701,0.0,100,0,0,,EURUSD-23APR0618-B1.085,between,1.08599,1.084,,1.084 to 1.08599,finalized,2023-04-06 14:18:21,2023-04-06
113,100,0,0,1680790701,0.0,100,0,0,,EURUSD-23APR0618-B1.087,between,1.08799,1.086,,1.086 to 1.08799,finalized,2023-04-06 14:18:21,2023-04-06
114,94,0,0,1680790701,0.0,100,6,0,,EURUSD-23APR0618-B1.087,between,1.08799,1.086,,1.086 to 1.08799,finalized,2023-04-06 14:18:21,2023-04-06
115,92,0,0,1680790701,0.0,100,8,0,,EURUSD-23APR0618-B1.087,between,1.08799,1.086,,1.086 to 1.08799,finalized,2023-04-06 14:18:21,2023-04-06
116,92,89,0,1680790701,0.0,11,8,0,,EURUSD-23APR0618-B1.087,between,1.08799,1.086,,1.086 to 1.08799,finalized,2023-04-06 14:18:21,2023-04-06
117,100,0,0,1680790701,0.0,100,0,0,,EURUSD-23APR0618-B1.089,between,1.08999,1.088,,1.088 to 1.08999,finalized,2023-04-06 14:18:21,2023-04-06
118,100,1,0,1680790701,0.0,99,0,0,,EURUSD-23APR0618-B1.089,between,1.08999,1.088,,1.088 to 1.08999,finalized,2023-04-06 14:18:21,2023-04-06
119,100,0,0,1680790701,0.0,100,0,0,,EURUSD-23APR0618-B1.089,between,1.08999,1.088,,1.088 to 1.08999,finalized,2023-04-06 14:18:21,2023-04-06
120,100,1,0,1680790701,0.0,99,0,0,,EURUSD-23APR0618-B1.089,between,1.08999,1.088,,1.088 to 1.08999,finalized,2023-04-06 14:18:21,2023-04-06
121,83,1,0,1680790701,0.0,99,17,0,,EURUSD-23APR0618-B1.089,between,1.08999,1.088,,1.088 to 1.08999,finalized,2023-04-06 14:18:21,2023-04-06
122,81,1,0,1680790701,0.0,99,19,0,,EURUSD-23APR0618-B1.089,between,1.08999,1.088,,1.088 to 1.08999,finalized,2023-04-06 14:18:21,2023-04-06
123,81,76,0,1680790701,0.0,24,19,0,,EURUSD-23APR0618-B1.089,between,1.08999,1.088,,1.088 to 1.08999,finalized,2023-04-06 14:18:21,2023-04-06
124,78,70,0,1680790701,0.0,30,22,0,,EURUSD-23APR0618-B1.091,between,1.09199,1.09,,1.09 to 1.09199,finalized,2023-04-06 14:18:21,2023-04-06
125,100,70,0,1680790701,0.0,30,0,0,,EURUSD-23APR0618-B1.091,between,1.09199,1.09,,1.09 to 1.09199,finalized,2023-04-06 14:18:21,2023-04-06
126,100,0,0,1680790701,0.0,100,0,0,,EURUSD-23APR0618-B1.091,between,1.09199,1.09,,1.09 to 1.09199,finalized,2023-04-06 14:18:21,2023-04-06
127,100,1,0,1680790701,0.0,99,0,0,,EURUSD-23APR0618-B1.091,between,1.09199,1.09,,1.09 to 1.09199,finalized,2023-04-06 14:18:21,2023-04-06
128,76,1,0,1680790701,0.0,99,24,0,,EURUSD-23APR0618-B1.091,between,1.09199,1.09,,1.09 to 1.09199,finalized,2023-04-06 14:18:21,2023-04-06
129,74,1,0,1680790701,0.0,99,26,0,,EURUSD-23APR0618-B1.091,between,1.09199,1.09,,1.09 to 1.09199,finalized,2023-04-06 14:18:21,2023-04-06
130,74,68,0,1680790701,0.0,32,26,0,,EURUSD-23APR0618-B1.091,between,1.09199,1.09,,1.09 to 1.09199,finalized,2023-04-06 14:18:21,2023-04-06
131,74,70,0,1680790701,0.0,30,26,0,,EURUSD-23APR0618-B1.091,between,1.09199,1.09,,1.09 to 1.09199,finalized,2023-04-06 14:18:21,2023-04-06
132,100,0,0,1680790701,0.0,100,0,0,,EURUSD-23APR0618-B1.093,between,1.09399,1.092,,1.092 to 1.09399,finalized,2023-04-06 14:18:21,2023-04-06
133,100,1,0,1680790701,0.0,99,0,0,,EURUSD-23APR0618-B1.093,between,1.09399,1.092,,1.092 to 1.09399,finalized,2023-04-06 14:18:21,2023-04-06
134,79,1,0,1680790701,0.0,99,21,0,,EURUSD-23APR0618-B1.093,between,1.09399,1.092,,1.092 to 1.09399,finalized,2023-04-06 14:18:21,2023-04-06
135,79,75,0,1680790701,0.0,25,21,0,,EURUSD-23APR0618-B1.093,between,1.09399,1.092,,1.092 to 1.09399,finalized,2023-04-06 14:18:21,2023-04-06
136,100,0,0,1680790701,0.0,100,0,0,,EURUSD-23APR0618-T1.08400,less,1.084,,,1.08399 or below,finalized,2023-04-06 14:18:21,2023-04-06
137,100,1,0,1680790701,0.0,99,0,0,,EURUSD-23APR0618-T1.08400,less,1.084,,,1.08399 or below,finalized,2023-04-06 14:18:21,2023-04-06
138,100,0,0,1680790701,0.0,100,0,0,,EURUSD-23APR0618-T1.08400,less,1.084,,,1.08399 or below,finalized,2023-04-06 14:18:21,2023-04-06
139,100,0,0,1680790701,0.0,100,0,0,,EURUSD-23APR0618-T1.09399,greater,,1.09399,,1.094 or above,finalized,2023-04-06 14:18:21,2023-04-06
140,100,1,0,1680790701,0.0,99,0,0,,EURUSD-23APR0618-T1.09399,greater,,1.09399,,1.094 or above,finalized,2023-04-06 14:18:21,2023-04-06
141,88,1,0,1680790701,0.0,99,12,0,,EURUSD-23APR0618-T1.09399,greater,,1.09399,,1.094 or above,finalized,2023-04-06 14:18:21,2023-04-06
142,86,1,0,1680790701,0.0,99,14,0,,EURUSD-23APR0618-T1.09399,greater,,1.09399,,1.094 or above,finalized,2023-04-06 14:18:21,2023-04-06
143,86,81,0,1680790701,0.0,19,14,0,,EURUSD-23APR0618-T1.09399,greater,,1.09399,,1.094 or above,finalized,2023-04-06 14:18:21,2023-04-06
144,86,83,0,1680790701,0.0,17,14,0,,EURUSD-23APR0618-T1.09399,greater,,1.09399,,1.094 or above,finalized,2023-04-06 14:18:21,2023-04-06
145,100,0,0,1680790715,0.0,100,0,0,,EURUSD-23APR0618-B1.085,between,1.08599,1.084,,1.084 to 1.08599,finalized,2023-04-06 14:18:35,2023-04-06
146,92,90,0,1680790715,0.0,10,8,0,,EURUSD-23APR0618-B1.087,between,1.08799,1.086,,1.086 to 1.08799,finalized,2023-04-06 14:18:35,2023-04-06
147,81,79,0,1680790715,0.0,21,19,0,,EURUSD-23APR0618-B1.089,between,1.08999,1.088,,1.088 to 1.08999,finalized,2023-04-06 14:18:35,2023-04-06
148,74,71,0,1680790715,0.0,29,26,0,,EURUSD-23APR0618-B1.091,between,1.09199,1.09,,1.09 to 1.09199,finalized,2023-04-06 14:18:35,2023-04-06
149,78,75,0,1680790715,0.0,25,22,0,,EURUSD-23APR0618-B1.093,between,1.09399,1.092,,1.092 to 1.09399,finalized,2023-04-06 14:18:35,2023-04-06
150,100,0,0,1680790715,0.0,100,0,0,,EURUSD-23APR0618-T1.08400,less,1.084,,,1.08399 or below,finalized,2023-04-06 14:18:35,2023-04-06
151,84,83,0,1680790715,0.0,17,16,0,,EURUSD-23APR0618-T1.09399,greater,,1.09399,,1.094 or above,finalized,2023-04-06 14:18:35,2023-04-06
152,77,75,0,1680790733,0.0,25,23,0,,EURUSD-23APR0618-B1.093,between,1.09399,1.092,,1.092 to 1.09399,finalized,2023-04-06 14:18:53,2023-04-06
153,95,90,0,1680790759,0.0,10,5,0,,EURUSD-23APR0618-B1.087,between,1.08799,1.086,,1.086 to 1.08799,finalized,2023-04-06 14:19:19,2023-04-06
154,96,90,0,1680790759,0.0,10,4,0,,EURUSD-23APR0618-B1.087,between,1.08799,1.086,,1.086 to 1.08799,finalized,2023-04-06 14:19:19,2023-04-06
155,96,0,0,1680790759,0.0,100,4,0,,EURUSD-23APR0618-B1.087,between,1.08799,1.086,,1.086 to 1.08799,finalized,2023-04-06 14:19:19,2023-04-06
156,82,79,0,1680790759,0.0,21,18,0,,EURUSD-23APR0618-B1.089,between,1.08999,1.088,,1.088 to 1.08999,finalized,2023-04-06 14:19:19,2023-04-06
157,85,79,0,1680790759,0.0,21,15,0,,EURUSD-23APR0618-B1.089,between,1.08999,1.088,,1.088 to 1.08999,finalized,2023-04-06 14:19:19,2023-04-06
158,86,79,0,1680790759,0.0,21,14,0,,EURUSD-23APR0618-B1.089,between,1.08999,1.088,,1.088 to 1.08999,finalized,2023-04-06 14:19:19,2023-04-06
159,96,1,0,1680790760,0.0,99,4,0,,EURUSD-23APR0618-B1.087,between,1.08799,1.086,,1.086 to 1.08799,finalized,2023-04-06 14:19:20,2023-04-06
